,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10,-2.1416771,0.36149758,-0.17962128,-0.94480485,0.1281104,0.40511295,-3.1228225,-0.005402318,-1.7391751,-0.42892888,0.5406429,-1.6024375,0.7594517,0.37977746,0.7904621,-1.8686281,-2.1055193,0.3319924,-2.2227678,-2.1019473,0.0480773,-1.683669,-0.56696844,-0.6357843,-0.054835435,0.6808242,0.73902667,-0.45124376,-0.12941055,2.2600114,0.1415451,0.20206435
11,-1.1809793,0.18184276,-1.1888834,-0.55212563,0.6232186,0.47672558,0.671013,-1.4196621,-0.8230345,0.26472855,-4.8786116,-0.65499014,1.2804534,-2.195732,0.83126086,0.87253314,-1.9651519,0.2725687,-0.34367555,-1.3151802,-0.63027036,-1.519452,-1.0280492,0.10827634,-2.2558205,-0.88685954,-1.1177086,0.23819913,-0.030017521,1.0986861,-3.251487,-0.015416325
12,0.20836473,0.36217117,-0.7370149,-1.9249277,-0.046866927,0.6802695,-0.82052463,-1.6983835,-0.5419963,-0.2637983,-9.886525,-2.164508,-0.8519189,-1.6147498,-0.3550063,-0.52917427,-0.42295375,0.70610416,-0.15559426,-1.1527449,-0.4449789,-0.25018418,-0.06427734,-0.44966206,-2.1750472,-1.3503203,-2.359681,-0.28519586,-0.2966455,-0.13932973,-1.8639288,-0.3357347
13,-1.1335925,0.73867166,-0.79433316,-2.5666835,-0.030323194,-0.94439626,-0.33887425,-0.09528744,0.20331389,-3.51536,-0.29035348,0.22209118,2.0951858,0.1853561,0.2998611,-0.33605534,-4.532534,1.0813172,0.2493761,0.037334602,-0.07364184,-0.94569165,-0.7454528,-3.4190273,0.018353628,0.25327218,-1.3155891,-3.6191876,-0.16818607,3.8412561,0.22876823,-0.3969366
14,0.22170526,0.17311727,0.094332196,-2.9051123,-0.00084866956,-0.72229314,-2.5083883,-1.2613909,-2.5188084,-0.12471166,-0.47520542,-4.9913573,-0.26992306,-1.3205873,0.7834476,-0.20274453,-1.3082336,0.62791944,-1.1223626,-1.1419921,-0.3133843,-0.43031314,-0.122124106,-0.11579279,-0.84512657,0.13089828,-6.054283,-0.26106393,-0.11901964,0.8828487,-1.9996722,0.43432403
15,-0.5349424,1.1213946,0.5536604,-2.060431,-0.31415647,3.1391988,-0.68692255,-0.030865612,-0.44999602,-2.0940485,-0.2596714,-0.2803233,0.3382281,0.41897652,-0.3625061,-0.35783538,-0.86402607,0.7506852,-0.8316963,-0.28734204,0.055214148,-0.5690784,-1.4219446,-1.9888088,-0.02974162,-0.29574606,-0.6416969,-1.9911153,0.010652732,2.2923667,0.04481538,-0.22249754
16,-1.5391388,0.4782407,-0.6771619,-1.0234154,0.5049907,-0.3103386,-1.7160407,-0.08489924,-2.4931848,0.01007048,-0.261884,-0.73253614,-0.314082,-0.7161045,0.3935595,-0.7182183,-2.152341,0.3955479,0.5478116,-0.9222017,-0.08349664,-3.0791626,-1.4744772,-0.044466827,0.114860885,-0.0022858689,-2.392342,-0.0075843474,0.29286388,1.9689395,0.6827122,-0.2826699
17,-4.7586927,0.113000214,-4.558673,1.349766,-0.603359,0.7595068,1.210175,-0.2552617,-0.008590483,-0.31014374,-0.25789917,-1.1686414,0.5183609,0.08151388,-0.51351374,-0.51773757,-1.8728968,0.02210017,-1.0006942,-2.4475577,0.12410596,-2.6497095,-0.6142386,-0.23468137,0.07700115,-4.5102406,-1.4023217,-0.23980993,0.25962865,-0.13241762,-0.24985935,-2.6354141
18,-1.3084352,0.48415115,-0.3814508,-0.59482473,-0.8094301,1.4230552,-0.77589613,-1.7759429,-1.6244392,-0.12505314,-0.89633054,0.00014161202,-2.2042356,-1.162662,-4.4685473,-4.721167,-0.32213882,1.1879587,0.580896,-0.6982523,-1.2579468,-0.6052798,0.5549468,0.005476992,-2.6160297,1.209312,0.25028536,-0.06428441,-0.9560235,-0.9279578,-1.095941,-0.79882133
19,-2.0910256,1.112773,-0.7648753,-3.4329708,0.1620857,2.858204,1.909092,0.018225592,-2.1437652,-3.1931665,-0.0069933506,0.042216767,-0.6480236,0.119211525,0.38783082,-0.44839126,-3.0616665,0.8461066,-0.14143899,-0.0513043,0.07124216,-0.38987905,-1.062784,-3.144368,0.06993102,0.38048276,-0.034234226,-2.893586,-0.02452647,0.5235602,-0.2821087,0.19131325
